0.000395    -0.999827     -0.435110	30.691740    0.000000    0.000000    30.691515    0.000000    0.000043
987.737500    -3.348909     -0.005590	219.523300    0.000000    0.000000    66.106918    0.100383    0.000271
988.545563    -1.871254     -0.005580	219.880859    0.000000    0.000000    66.322426    0.100629    0.000271
0.000000    0.000000     -0.259360	10.905012    0.000000    0.000000    10.905012    0.000000    0.000015
988.435630    -4.542052     -0.005060	219.834900    0.000000    0.000000    66.294357    0.100598    0.000271
503.632550    108.016462     0.261800	70.806664    0.000000    0.000000    15.999437    0.014235    0.000089
987.935036    -4.043758     -0.006110	219.613235    0.000000    0.000000    66.161507    0.100444    0.000271
989.244586    -2.937340     -0.005590	220.193115    0.000000    0.000000    66.510925    0.100843    0.000272
988.339283    -2.324672     -0.005930	219.790207    0.000000    0.000000    66.268005    0.100566    0.000271
987.909153    -2.279136     -0.006110	219.599243    0.000000    0.000000    66.153046    0.100435    0.000271
975.165053    164.638012     0.162320	224.333176    0.000000    0.000000    70.700981    0.100756    0.000278
987.933939    -1.751067     -0.006110	219.609787    0.000000    0.000000    66.159409    0.100442    0.000271
989.158497    -2.677519     -0.005590	220.154449    0.000000    0.000000    66.487579    0.100816    0.000272
987.898834    -2.841419     -0.005930	219.594971    0.000000    0.000000    66.150322    0.100432    0.000271
988.565529    -2.038407     -0.005760	219.890198    0.000000    0.000000    66.328201    0.100635    0.000271
988.640939    -2.668271     -0.006810	219.926575    0.000000    0.000000    66.350990    0.100658    0.000272
0.000000    0.000000     0.524306	44.564590    0.000000    0.000000    44.564590    0.000000    0.000062
822.231787    518.971214     1.035150	386.424988    0.000000    0.000000    235.778473    0.095752    0.000504
1483.369644    -6.175834     -0.008730	495.107697    0.000000    0.000000    336.252960    0.340007    0.000611
1482.931521    -6.218689     -0.007850	494.813049    0.000000    0.000000    335.853668    0.339706    0.000611
477.118930    -127.435057     -0.263550	66.133690    0.000000    0.000000    15.390659    0.012546    0.000083
987.630994    -2.481384     -0.005410	219.474487    0.000000    0.000000    66.077415    0.100350    0.000271
987.395296    -3.537164     -0.005580	219.371475    0.000000    0.000000    66.015533    0.100279    0.000271
984.585366    82.372039     0.078710	220.647858    0.000000    0.000000    67.181686    0.100469    0.000273
1483.224050    -6.987197     -0.009600	495.015594    0.000000    0.000000    336.126862    0.339910    0.000611
1481.940915    -5.490247     -0.008901	494.153076    0.000000    0.000000    334.957428    0.339024    0.000610
897.734464    415.285863     0.430581	250.193542    0.000000    0.000000    96.531334    0.100808    0.000313
988.904121    -2.426967     0.078880	221.044571    0.000000    0.000000    67.422661    0.100738    0.000273
347.649817    -144.691464     -0.786090	132.080368    0.000000    0.000000    101.572517    0.005562    0.000178
348.520074    -146.934299     -0.785926	132.322037    0.000000    0.000000    101.555634    0.005636    0.000179
347.976369    -146.261726     -0.786270	132.280151    0.000000    0.000000    101.631897    0.005602    0.000179
672.035936    -182.783494     -1.053830	289.171326    0.000000    0.000000    196.374756    0.035188    0.000385
988.832757    -2.144054     -0.005580	220.008881    0.000000    0.000000    66.399673    0.100716    0.000272
988.069848    -3.291228     0.163360	223.992142    0.000000    0.000000    70.517059    0.100484    0.000277
988.465873    -1.502130     -0.006110	219.846146    0.000000    0.000000    66.301880    0.100604    0.000271
1680.887491    -8.997959     -0.012040	635.752869    0.000000    0.000000    554.415466    0.494724    0.000785
1347.424988    618.087788     0.425860	523.857422    0.000000    0.000000    364.774506    0.339350    0.000651
929.534231    -337.939519     -0.352210	240.213882    0.000000    0.000000    86.565224    0.100785    0.000300
972.897904    -172.154865     -0.177500	224.745316    0.000000    0.000000    71.281433    0.100465    0.000278
1483.147360    -6.633748     -0.008380	494.959564    0.000000    0.000000    336.052246    0.339856    0.000611
1482.780604    -5.903798     -0.008900	494.714355    0.000000    0.000000    335.718689    0.339602    0.000611
879.993849    -130.000264     -0.530750	223.706848    0.000000    0.000000    89.148613    0.073322    0.000283
0.755805    -0.655324     -0.521330	44.060337    0.000000    0.000000    44.060112    0.000000    0.000061
988.456669    -4.367083     -0.177330	224.937607    0.000000    0.000000    71.393471    0.100604    0.000278
973.458664    -172.969414     -0.179770	225.185593    0.000000    0.000000    71.599121    0.100677    0.000279
989.680653    -2.043400     -0.092330	221.763184    0.000000    0.000000    68.004593    0.100976    0.000274
1482.317927    -6.816131     -0.008900	494.408264    0.000000    0.000000    335.303436    0.339287    0.000610
1483.540479    -5.727551     -0.008550	495.220001    0.000000    0.000000    336.405731    0.340124    0.000611
1482.933760    -5.678028     -0.007680	494.812622    0.000000    0.000000    335.853302    0.339706    0.000611
1462.282357    249.591026     0.164061	499.490631    0.000000    0.000000    340.647308    0.340040    0.000617
1482.953624    -5.734147     -0.008371	494.827820    0.000000    0.000000    335.873291    0.339720    0.000611
1483.593379    -6.342621     -0.177500	500.352783    0.000000    0.000000    341.551727    0.340162    0.000619
1483.508179    -8.778555     -0.353959	515.507446    0.000000    0.000000    356.688843    0.340112    0.000640
